DST_RSK_DSTRCT_MNG_NO,DST_RSK_DSTRCT_NM,DST_RSK_DSTRCT_GRD_CD,DST_RSK_DSTRCT_TYPE_CD,DST_RSK_DSTRCTCD,DST_RSK_DSTRCT_RGN_CD,DST_RSK_DSTRCT_HONU,MAO_CD,MAOF_NM,FCLT_NM,FCLTY_GRD_CD,FCLTY_GRD_NM,DST_WASY_CD,WASY_NM,DSGN_YMD,DSGN_RSN,RMV_YMD,RMV_RSN,DAM_INTV,DAM_DAY_RNFL,DAM_HR_RNFL,RSK_FACTR_CN,PRPL_MTTR_CD,WRTR_OGDP_JBGD_CN,IDFR_OGDP_JBGD_CN,FCLT_MNG_INST_NM,MNG_RBPRSN_OGDP_JBGD_CN,MNG_CTZN_JBGD_NM,COPL_RMRK,LAST_MDFCN_DT,APLY_YN,DSGN_AREA,APLY_YR,APLY_YMD,HAB_NOHO,HAB_NOPE_CNT,BSC_PLAN_NM,FNDG_YMD,ACT_LMT_MUOR_SPTR,ENCT_YMD,DCSD_CNT,INJPSN_CNT,DAM_HSTRY_IDX,CST_BNTS_VL,PLCY_VL,CNTNC_VL,PREP_VL,BSC_PLAN_YN,MTN_ADDR_YN,MNLNO,SUBLOTNO,DADDR,ROAD_NM_CD,RONA_DADDR,STDG_CD,USE_YN
488502011013,청룡지구,2,001,,4885041000,,,,청룡지구,012,지방1급하천,-1,,20100520,상습침수지역,,,0,0,0,상습침수지역,1,안전총괄과 시설8급,안전총괄과 시설6급,하동군,옥종면 시설7급,,,2025/11/01 00:00:00.000000000,0,450000,2015,20160705,450,1800,,,00,,0,0,,0,,,,N,0,1,,,, [지점번호:라라35898709],4885041021,Y
472102006001,사일지구,2,001,,4721000000,,,,사일지구,013,지방2급하천,2,낙동강,20060228,재해위헙지구 지정관리,20120208,,0,0,0,"제방붕괴 우려
- 서천지구 하천재해예방사업(준공일 : '09. 4. 19.)",4,재난안전관리과 시설7급,재난안전관리과 시설5급,영주시 건설과,휴천3동 행정8급,조암동 1153,,2023/06/02 10:54:44.000000000,0,60000,,20151102,0,0,,,00,,0,0,0,0,,,,N,0,1041,1,,4721011100110410004000001     ,,4721011100,Y
472102006002,아랫들지구,3,001,,4721000000,일원,,,아랫들지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,,,0,0,0,"제방붕괴 우려
- 죽계지구 하천재해예방사업(준공예정일 : '23. 12. 17.)",4,안전재난과 시설7급,안전재난과 행정5급,영주시,안전재난과 시설7급,안정면 동촌리,,2025/11/01 00:00:00.000000000,0,140000,2006,20060302,10,19,,,02,20090108,0,0,0,0,,,,N,0,856,1,,,,4721037022,Y
472102006003,중촌들지구,3,002,,4721000000,일원,,,중촌들지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,,,0,0,0,"세굴로 인한 제방붕괴 우려
- 죽계2지구 하천재해예방사업(준공예정일 : '23. 12. 17.)",2,안전재난과 시설7급,안전재난과 행정5급,영주시 안전재난과,안전재난과 시설7급,순흥면 읍내리,,2025/11/01 00:00:00.000000000,0,100000,2006,20060302,56,162,,,02,20090108,0,0,0,0,,,,N,0,245,1,,,,4721037024,Y
472102006004,옥대지구,1,001,,4721000000,,,,옥대지구,013,지방2급하천,2,낙동강,20140206,재해위험지구 지정관리(변경고시),20170322,"재해위험지구 정비사업 완료
- 옥대지구 하천재해예방사업(준공일 : '16. 12. 26.)",0,0,0,침수위험,4,안전재난과 시설7급,안전재난과 행정5급,영주시,안전재난과 시설7급,단산면 옥대리,,2023/06/02 10:46:37.000000000,0,150000,2014,20140206,108,259,,,02,20090108,0,0,0,0,,,,N,0,173,1,,,경상북도 영주시 단산면 옥대로  23-6   ,4721038025,Y
472102006005,피골지구,1,001,,4721000000,일원,,,피골지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,,,5,250,30,"침수위험
- 죽계지구 하천재해예방사업(준공일 : '19. 12. 16.)",4,안전재난과 시설7급,안전재난과 행정5급,영주시,안전재난과 시설7급,,,2025/11/01 00:00:00.000000000,0,60000,2006,20060302,6,8,,,02,20150108,0,0,0,0,,,,N,0,94,3,,4721011300100940008000001     ,,4721011300,Y
472102006006,두전지구,2,001,,4721000000,,,,두전지구,013,지방2급하천,2,낙동강,20060228,재해위험지구 지정관리,20120208,"옥계지구 하천재해예방사업
- 준공일 : '10. 8. 24.",5,250,30,침수위험,4,재난관리과 시설7급,재난관리과 시설5급,영주시청,재난관리과 시설9급,장수면 두전3리,,2023/06/02 10:23:52.000000000,0,60000,,20151102,0,0,,,00,,0,0,0,0,,,,N,0,1281,0,,4721034022112810000023076     ,,4721034022,Y
472102010007,휴천지구,1,001,,4721000000,,,,휴천지구,002,지방도,-1,,20100129,재해위험지구 지정관리,20150901,"영주시 시가지 상습침수지역(휴천지구) 재해위험지구 정비사업
- 준공일 : '14. 6. 2.",5,250,30,침수위험,4,,,재난관리과,재난관리과 시설7급,,,2023/06/02 10:51:49.000000000,0,60000,,20151031,0,0,,,00,,0,0,0,0,,,,N,0,693,9,,4721010400106930009011092     ,,4721010400,Y
472102010008,죽계지구,3,001,,4721000000,,,,죽계지구,013,지방2급하천,19,기타,20060302,재해위험지구 지정관리,,,5,250,3,"침수위험
- 죽계지구 하천재해예방사업(준공예정일 : '23. 12. 17.)",3,안전재난과 시설7급,안전재난과 시설5급,영주시,안전재난과 시설7급,,,2025/11/01 00:00:00.000000000,0,720000,2006,20060302,123,423,,,02,20090108,0,0,0,0,,,,N,0,989,2,,,,4721037022,Y
472102011009,적동지구,3,001,,4721000000,,,,적동지구,013,지방2급하천,-1,,20100730,침수위험,20120208,"정비완료
- 서천지구 하천재해예방사업(준공일 : '10. 8. 18.)",0,0,0,침수,4,,재난관리과 시설5급,,재난관리과 시설7급,적동2리장,,2023/06/02 10:11:50.000000000,0,60000,,20151102,0,0,,,00,,0,0,0,0,,,,N,0,723,1,,,,4721033023,Y
427502005001,덕포지구,2,002,,5175025000,,001,행정안전부,계족산,016,사유림,1,한강,20051125,집중호우시 붕괴우려,20090821,정비사업 완료에 따른 해제,10,300,40,붕괴,4,안전건설과 시설6급,안전건설과 시설5급,영월군,안전건설과 시설6급,영월읍 덕포리,,2020/08/27 15:12:02.000000000,0,9000,,,,,,,,,,,,,,,,,1,80,1,,, [지점번호:라사86920935],5175025024,Y
441802021013,대창1지구,1,001,,4418000000,,,,대창1지구,013,지방2급하천,19,기타,20250501,하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('24년 5월 지정 예정),,,,,,하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('25년 5월 지정 예정),1,보령시 안전총괄과 시설7,보령시 안전총괄과 행정5,보령시청,보령시 안전총괄과 시설6,,,2025/11/01 00:00:00.000000000,0,452600,,,,,,,,,,,,,,,,,0,928,,,,,4418025021,N
441802021012,남포천지구,3,001,,4418000000,,,,남포천지구,013,지방2급하천,19,기타,20240515,하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('24년 5월 지정 예정),,,,,,하천 미정비로 인하여 통수단면 부족에 의한 배후 농경지 및 주거지 침수피해 발생('23년 5월 지정 예정),1,보령시 안전총괄과 시설7,보령시 안전총괄과 행정5,보령시청,보령시 안전총괄과 시설7 ,,,2025/11/01 00:00:00.000000000,0,302570,,,,,,,,,,,,,,,,,0,1395,0,,,,4418036026,N
441502006006,정안지구,2,001,하천제방,4415037000,,,,정안천,013,지방2급하천,3,금강,20060302,하천범람(외수),,,5,180,0,집중호우시 하천범람으로 주변농경지 침수,1,시민안전과 시설7,시민안전과 시설5,시민안전과,정안면 시설7,대산2리장,,2025/11/01 00:00:00.000000000,0,40300,2006,20060302,0,0,정안천 하천기본계획,20130923,02,20110915,0,0,0,0,,,,N,0,240,,,,,4415037038,Y
441502013010,금강지구,2,001,,4415056000,,,,금강,011,국가하천,-1,,19961119,침수위험 해소,20001217,정비완료,0,0,0,침수 위험,4,시민안전과 시설7,시민안전과 시설5,시민안전과,옥룡동 행정9,옥룡2통장,,2022/09/02 17:04:38.000000000,0,1400000,,,,,,,,,,,,,,,,,0,250,,,,,4415010900,Y
441502013011,내흥지구,1,001,,4415033000,,,,내흥지구,013,지방2급하천,-1,,19971230,침수위험,19980502,정비완료,,,,침수위험,4,시민안전과 시설7,시민안전과 시설5,시민안전과,계룡면 시설9,내흥2리장,,2022/09/02 17:03:41.000000000,0,1000000,,,,,,,,,,,,,,,,,0,124,,,, [지점번호:다바72272434],4415033025,Y
441502013012,사곡지구,1,001,,4415039000,,,,사곡지구,012,지방1급하천,3,금강,19960501,침수위험,19970509,정비완료,0,0,0,침수위험,4,시민안전과 시설7,시민안전과 시설5,시민안전과,사곡면 시설8,호계2리장,,2022/09/02 17:00:38.000000000,0,500000,,19960501,20,30,,,02,20110915,0,0,0,0,,,,N,0,214,,,,,4415039021,Y
441502013013,계실지구,2,001,하천제방,4415000000,,,,계실천,012,지방1급하천,3,금강,20140102,하천 통수단면 부족,,,2,150,17,하천통수단면 부족으로 인한 침수피해,4,시민안전과 시설7,시민안전과 시설5,시민안전과,사곡면 시설8,계실리장,,2025/11/01 00:00:00.000000000,0,36195,2017,20170828,42,160,계실천 하천기본계획,20071220,02,20110915,0,0,0,0,,,,N,0,133,4,,,충청남도 공주시 사곡면 계실양촌길  21-1   ,4415039024,Y
472102004001,문정지구,1,001,,4721000000,,,,문정지구,-1,,2,낙동강,20030129,재해위험지구지정관리(L =600m),20070807,"재해위험지구 정비완료
(하폭 B=120m → B=180m 확장)
- 서천협소구간 확장공사(준공일 : '06. 11. 3.)",0,200,80,"-하천협소(병목)구간으로 ""하천개수""가 필요한 외수 침수지구
-집중호우시 지방2급하천 서천의 수위상승으로 영주시가지 침수",4,영주시청 건설과 토목7급,영주시청 건설과 토목5급,,가흥1동사무소 행정7급,가흥 문정동 199,,2023/06/02 10:08:19.000000000,0,60000,,,,,,,,,,,,,,,,,0,706,0,,4721010600107060000000001     ,,4721010600,Y
472102004002,동막지구,1,001,내수침수,4721000000,,,,내성천,010,지방관리,2,낙동강,20010112,재해위험지구 지정관리(펌프장 1동),20030320,정비완료(2002. 12. 31.),0,200,80,"- ""배수펌프장 설치""가 필요한 내수 침수지구
- 침수판단기준 : 강우량 200mm 이상, 홍수위 3.0m 이상
- 호우시 지방2급하천 내성천의 수위상승으로 인근 소하천에 위치한 주택(24동) 내수배제 불가",4,영주시청 건설과 토목8급,영주시청 건설과 토목5급,,,,,2023/06/02 10:34:25.000000000,0,60000,,,,,,,,,,,,,,,,,0,469,0,,,,4721032021,Y
472102004003,금광지구,1,001,상습침수,4721000000,금광1리,,,내성천,010,지방관리,2,낙동강,19990802,재해위험지구,20030320,"정비완료(2002. 12. 31.)
- 영주댐구역 편입(수몰)",0,227,86,"- ""배수펌프장 설치""가 필요한 내수 침수지구
- 침수판단기준 : 강우량 200mm 이상, 홍수위 3.0m 이상
- 호우시 지방2급하천 내성천의 수위상승으로 인근 소하천에 위치한 주택(24동) 내수배제 불가",4,영주시 건설과,영주시 건설과,,,,,2023/06/02 10:27:09.000000000,0,60000,,,,,,,,,,,,,,,,,0,1295,0,,,,4721032025,Y
462302015017,진월 외망지구,2,001,,4623035000,,001,행정안전부,진월 외망지구,050,기타,-1,,20151014,침수위험,20171025,,0,0,0,침수위험,4,안전총괄과,안전총괄과장,,진월면사무소,외망마을이장,,2018/10/31 21:06:49.000000000,0,38130,2015,20151014,0,0,,20151014,00,20111228,0,0,0,0,,,,N,0,4,54,,,전라남도 광양시 진월면 망덕길  356    ,4623035021,Y
462302015019,태인 궁기지구,1,001,,4623057000,,001,행정안전부,태인 궁기지구,050,기타,-1,,20151014,침수위험지구,20181101,,0,0,0,침수위험,4,안전총괄과,안전총괄과장,,태인동사무소,,,2018/10/31 21:02:01.000000000,0,200000,2015,20151014,0,0,,20151014,00,20111228,0,0,0,0,,,,N,0,896,161,,,전라남도 광양시  김시식지길  15   (태인동),4623010900,Y
461502014004,용촌 자연재해위험,1,001,,4615035000,마을회관,005,국토교통부,용촌 자연재해위험개선 지구,010,지방관리,5,섬진강,20141211,재해예방 개선사업을 위한 지구지정,,,2,150,30,호남고속도로 BOX2교 통수단면 부족으로 농경지 및 주택 침수위험,3,시설8급,시설6급,건설과,시설8급,이장,,2025/11/01 00:00:00.000000000,0,103100,2014,20151103,30,90,,,02,,0,0,0,0,,,,N,0,830,2,,,,4615035026,Y
458002015013,모항,2,001,,5280000000,일원,,,모항마을유수지,010,지방관리,19,기타,20150108,내수배제 불량에 따른 침수위험,20180409,사업 완료,2,150,25,"- 서해안과 인접하여 만조와 집중호우가 동시 발생 시 홍수량을 저류시킬 수 있는 유수지 저류용량과 방류수문 통수단면 부족으로 인한 자연배제 불가
 - 우수관로 용량 부족에 의한 침수피해 발생",4,안전총괄과 시설7급,안전총괄과 시설6급,안전총괄과,안전총괄과 시설8급,이장,,2023/11/21 09:00:47.000000000,0,19000,2014,20140423,16,35,,,02,20130923,0,0,9000,2,,,,N,0,71,1,,,"전라북도 부안군 변산면 모항해변길  4 , 일원  ",5280036021,Y
427802015003,학사2지구,1,001,,5178025300,,001,행정안전부,학사2지구,012,지방1급하천,-1,,20141203,자연재해로 인한 침수위험,20190222,정비완료,0,0,0,홍수위 상승 시 내수배제 능력 부족,4,,,,시설7급,,,2019/04/29 16:55:49.000000000,0,53106,2015,20151103,214,350,,,02,20061004,0,0,0,0,,,,N,0,304,21,,, [지점번호:다아92672789],5178025321,Y
427802015004,상사2지구,1,002,,5178025600,,001,행정안전부,상사2지구,004,군도,-1,,20150107,낙석 및 사면붕괴 인명피해 우려,20180605,정비완료,0,0,0,낙석 및 사면붕괴로 인한 인명피해 ,4,,,,시설7급,,,2019/04/29 16:57:46.000000000,0,9593,2015,20151103,0,0,,,02,20150107,0,0,0,0,,,,N,0,552,12,,,강원도 철원군 갈말읍 직탕길  32    ,5178025629,Y
451902015032,정송지구,2,001,,5219000000,,,,옥률천,013,지방2급하천,-1,,20150202,내수배제불량 및 관로 통수단면부족,20240315,2018년 1월 공사완료에 따른 지구 지정 해제,4,171,47,외수위 상승에 다른 내수배제 블량 및 기존 우수관의 통수능 부족,4,안전재난과 시설8급,안전재난과 시설6급,남원시,주생면사무소 농업6급,정충이장,,2024/11/17 15:37:18.000000000,0,110000,2015,20151103,87,164,,,02,20131111,0,0,0,0,,,,N,0,122,1,,,전라북도 남원시 주생면 정송1길  35-3   ,5219034024,Y
292002015012,산막,3,001,저수지정비,2920065000,일원,001,행정안전부,산막저수지,010,지방관리,19,기타,20131016,정밀안전진단결과 D등급 판정,,,0,0,0,저수지 붕괴에 의한 주택 및 농경지 침수,2,안전관리과 시설9급,안전관리과장,광산구청,안전관리과 시설9급,광산구 등임동,,2025/11/01 00:00:00.000000000,,0,,20151103,0,0, ,,00,,0,0,0,0,,,,N,1,31,5,,, [지점번호:다라33358890],2920012900,N
457902015014,건동지구,2,001,,5279034000,,001,행정안전부,건동천,013,지방2급하천,19,기타,20150306,내수배제 불량,20191212,재해위험요소 해소에 따른 해제,2,92,30,"건동천 및 교량 통수단면이 부족하고 제방이 계획홍수위 보다 낮아 집중호우시 하천범람으로 상습침수피해가 발생
 ",4,복구지원팀장,재난안전과장,고창군청,재난안전과,송산마을이장,,2020/06/09 14:34:22.000000000,0,449440,2015,20151108,21,79,건동천 하천기본계획,20100423,02,20100319,0,0,0,0,,,,Y,0,1664,,,,,5279038022,Y
427702015016,세대2지구,1,002,급경사지,5177025000,세대2,001,행정안전부,도로,004,군도,1,한강,20150318,상습적인 낙석발생으로 인명피해 우려가 있는 지역,20200317,정비사업 완료에 따른 붕괴위험 해소,1,0,0,해빙기 및 호우 시 낙석발생으로 인한 인명피해 위험,4,건설과,건설과장,건설과,정선읍사무소,봉양6리장,,2020/06/06 14:18:14.000000000,0,8100,2015,20150318,479,1003,풍수해저감종합계획,20110712,02,20070417,0,1,0,1,,,,Y,0,485,1,,, [지점번호:라사99733196],5177025021,Y
427702015017,낙동2지구,1,002,,5177032000,(낙동2),001,행정안전부,도로,004,군도,1,한강,20150318,자연재해 발생우려가 있는 지역의 체계적 정비 및 관리,20190612,정비사업 완료에 따른 붕괴위험 해소,1,0,0,낙석발생으로 인명피해 우려,4,건설과,건설과장,건설과,남면사무소,낙동3리장,,2020/06/06 14:18:38.000000000,0,7000,2015,20150318,431,666,풍수해저감종합계획,20110712,02,20070417,0,0,0,1,,,,Y,1,298,0,,, [지점번호:마사04132470],5177032024,Y
471112015010,대화지구,3,001,,4711000000,일원,,,대화천,013,지방2급하천,14,영덕오십천,20150311,통수단면 부족 및 침수위험,,,0,0,0,"호우시 통수단면 부족, 제방여유고 부족, 호안유실 등",2,생태하천과 시설8급,생태하천과 시설6급,포항시,생태하천과 시설5급,,,2025/11/01 00:00:00.000000000,0,530000,2015,20150311,45,158,,20170828,00,,0,0,1000,3,,,,Y,0,668,1,,, [지점번호:마마81547189],4711133037,Y
264402015013,대저2지구,2,001,침수,2644000000,,,,대저2동,038,광역시도,2,낙동강,20150318,상습침수로 인한 재해위험지구 지정,20220811,정비사업 완료로 재해위험요인 해소,1,153,0,호우로 인한 상습침수,4,안전관리과 시설8급,안전도시과장,강서구청,안전관리과 시설8급,덕두본리통장,,2022/10/24 10:37:25.000000000,0,789545,2015,20150318,670,2320,자연재해위험지구정비사업,20150318,00,,0,0,40000,9,,,,Y,0,2082,7,,,부산광역시 강서구  공항앞길33번길  20-10  (대저2동),2644010200,Y
481702015009,덕오지구,2,001,,4817042000,,005,국토교통부,지방하천,013,지방2급하천,,,19991105,침수위험,20060228,,0,0,0,침수위험,4,,,,하천관리과,,,2016/07/05 11:05:31.000000000,0,,,,,,,,,,,,,,,,,,,,,,,경상남도 진주시 집현면 남강로  1899    ,,Y
481702015010,나불지구,,001,,4817054500,,001,행정안전부,나불지구,050,기타,,,19990910,내수침수,20041125,,0,0,0,내수침수,4,,,,,,,2015/03/26 18:08:20.000000000,,,,,,,,,,,,,,,,,,,,,,,,경상남도 진주시  창렬로7번길  14-1  (인사동),,Y
481702015011,지내지구,2,001,,4817042000,,005,국토교통부,지내천,013,지방2급하천,,,19990910,침수위험,20060228,,0,0,0,침수,4,,,,하천관리과,,,2016/07/05 11:02:04.000000000,0,,,,,,,,,,,,,,,,,,,,,,,경상남도 진주시 집현면 지내길  13    ,,Y
277102015006,다사 서재2 지구,2,001,,2771025600,,001,행정안전부,다사 서재 2 자연재해위험개선지구,011,국가하천,2,낙동강,20150326,침수위험,20210330,"자연재해위험개선지구 정비사업 완료, ",5,0,0,하천수위 상승시 내수배제불량 및 배수관로 통수능력부족으로 인한 침수피해 발생 우려,4,안전방재과 7급,안전방재과 5급,다사읍사무소,다사읍사무소,서재1리장,,2022/04/14 20:01:53.000000000,0,140079,2015,20150326,10,25,풍수해저감종합계획,20150430,02,20130430,0,0,0,0,,,,Y,0,741,0,,, [지점번호:라마89136465],2771025625,Y
428302015012,상평지구,2,001,,5183000000,,,,상평지구 자연재해위험개선지구,050,기타,17,양양남대천,20150320,배수불량에 따른 시가지 침수위험,20210826,사업완료 ,0,0,0,배수불량에 따른 시가지 침수위험,4,안전교통과 시설7,,양양군청,안전교통과 시설7,상평마을대표,,2021/11/22 11:14:00.000000000,0,14809,2015,20150320,216,473,,,02,20121211,0,0,0,,10,5,0,N,0,18,0,,4283031029100180000017721     ,,5183031029,Y
415702015007,봉성지구,2,003,침수,4157000000,,,,봉성지구,012,지방1급하천,1,한강,20150331,강제배수 시설용량 부족,,,2,324,57,내수배제불량,3,하천과,하천과,김포시청,양촌읍 산업개발팀,,,2025/11/01 00:00:00.000000000,0,25714,2015,20150223,330,850,김포시풍수해저감종합계획,20160412,02,20061122,,,,,,,,Y,0,1073,,,,,4157025622,Y
421102009013,봉의 8,2,002,언덕붕괴,5111057000,,001,행정안전부,봉의 8,034,지방지정,,,19991118,언덕붕괴로 인한 주택 피해,20011227,재해위험지구 정비사업 완료,,,,언덕붕괴,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:33:04.000000000,,,,,,,,,,,,,,,,,,,0,26,40, ,,강원도 춘천시  소양정길34번길  4    ,5111011300,Y
421102009014,교동 1,2,002,언덕붕괴,5111052000,,001,행정안전부,교동 1,034,지방지정,,,19991118,언덕붕괴로 인한 주택피해,20011227,재해위험지구 정비사업 완료,,,,언덕붕괴,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:33:19.000000000,,,,,,,,,,,,,,,,,,,0,93,38, ,, [지점번호:라사20708713],5111012200,Y
421102009015,효자 1,2,002,언덕붕괴,5111062000,,001,행정안전부,효자 1,034,지방지정,,,19991118,언덕붕괴로 인한 주택피해,20011227,재해위험지구 정비사업 완료,,,,언덕붕괴,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:33:37.000000000,,,,,,,,,,,,,,,,,,,0,129,110, ,,강원도 춘천시  도화길  12-1  (효자동),5111011200,Y
421102009016,효자 2,2,002,언덕붕괴,5111062000,,001,행정안전부,효자 2,034,지방지정,,,19991118,언덕붕괴로 인한 주택 피해,20011227,재해위험지구 정비사업 완료,,,,언덕붕괴,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:33:50.000000000,,,,,,,,,,,,,,,,,,,0,126,3, ,,강원도 춘천시  백령로119번길  26   (효자동),5111011200,Y
421102009017,봉의 10,2,002,산사태,5111057000,,001,행정안전부,봉의 10,034,지방지정,,,20011227,산사태로 인한 주택 피해,20050730,재해위험지구 정비사업 완료,,,,산사태,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:34:54.000000000,,,,,,,,,,,,,,,,,,,0,1,40, ,, [지점번호:라사20498819],5111011300,Y
421102009018,근화,1,001,상습침수,5111057000,,001,행정안전부,근화,034,지방지정,19,기타,20000929,침수로 인한 주택피해,20070831,재해위험지구 정비사업 완료,,,,상습침수,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:34:02.000000000,,,,,,,,,,,,,,,,,,,0,601,5, ,, ,5111011700,Y
421102009019,봉의 9,2,002,언덕붕괴,5111058000,,001,행정안전부,봉의 9,034,지방지정,,,19991118,언덕붕괴로 인한 주택 피해,20080229,재해위험지구 정비사업 완료,,,,언덕붕괴,4,재난방재과 시설6급,재난방재과장,,,,,2013/06/16 10:02:55.000000000,,,,,,,,,,,,,,,,,,,0,5,39, ,, ,5111011400,Y
421102009020,소양 3,2,002,언덕붕괴,5111058000,,001,행정안전부,소양 3,034,지방지정,,,20031208,언덕붕괴로 인한 주택피해,20081002,재해위험지구 정비사업 완료,,,,언덕붕괴,4,재난방재과 시설6급,재난방재과장,,,,,2010/12/27 17:34:29.000000000,,,,,,,,,,,,,,,,,,,0,30,1, ,, ,5111011500,Y
421102010021,약사,2,001,,5111054500,,001,행정안전부,약사,034,지방지정,,,20100826,인접도로보다 저지대 주거밀집지역으로 집중호우시 범람 및 침수,20161110,,5,150,50,침수위험,4,안전총괄 시설8급,안전총괄담당관,춘천시청,약사명동,약사명동4통통장,,2017/02/22 10:31:37.000000000,0,2563,,20151130,19,60,,,02,20120329,0,0,0,0,,,,N,0,150,15,,,강원도 춘천시  약사고개길50번길  21-5  (약사동),5111011100,Y
