재해위험지구시설물코드,시설명,위도,경도,사용여부,위험코드,지정구분,지정일자,관리기관코드,최종수정일자
4117170018,IoT 진동/기울기 감지기 2-15,37.3893892,126.9305424,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117370025,IoT 균열 감지기 1-4,37.3721849,126.9595299,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-62,37.4051154,126.9529334,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,2,2,2.02511E+13,41171,2025/11/01 0:00
4117170027,IoT 진동/기울기 감지기 2-22,37.3876622,126.9335831,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-62,37.4051154,126.9529334,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117350002,IoT 진동/기울기 감지기 4-91,37.4004176,126.9507921,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117160007,IoT 진동/기울기 감지기 2-2,37.409993,126.9004499,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117370023,IoT 진동/기울기 감지기 1-30,37.3732935,126.9585496,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170021,IoT 진동/기울기 감지기 3-6,37.4336837,126.9019197,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-61,37.4051154,126.9529334,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-61,37.4051154,126.9529334,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117370023,IoT 진동/기울기 감지기 1-30,37.3732935,126.9585496,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,2,2,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-61,37.4051154,126.9529334,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117170021,IoT 진동/기울기 감지기 3-6,37.4336837,126.9019197,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117370019,IoT 진동/기울기 감지기 3-56,37.4051444,126.9523371,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170016,IoT 진동/기울기 감지기 3-25,37.4086404,126.9200167,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-62,37.4051154,126.9529334,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-61,37.4051154,126.9529334,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-64,37.3761451,126.9661676,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170012,IoT 균열 감지기 1-100,37.4216845,126.909761,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-7,37.3861945,126.9262231,Y,3,2,2.02511E+13,41171,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-64,37.3761451,126.9661676,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-64,37.3761451,126.9661676,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-65,37.3761451,126.9661676,Y,4,2,2.02511E+13,41173,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-25,37.3905846,126.930227,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117160007,IoT 진동/기울기 감지기 2-3,37.409993,126.9004499,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117160007,IoT 진동/기울기 감지기 2-2,37.409993,126.9004499,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117160007,IoT 진동/기울기 감지기 2-2,37.409993,126.9004499,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170021,IoT 진동/기울기 감지기 3-6,37.4336837,126.9019197,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-7,37.3861945,126.9262231,Y,3,1,2.02511E+13,41171,2025/11/01 0:00
4117370023,IoT 진동/기울기 감지기 1-30,37.3732935,126.9585496,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-64,37.3761451,126.9661676,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117370019,IoT 진동/기울기 감지기 3-56,37.4051444,126.9523371,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-64,37.3761451,126.9661676,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117370001,IoT 진동/기울기 감지기 4-64,37.3761451,126.9661676,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117370020,IoT 진동/기울기 감지기 3-62,37.4051154,126.9529334,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-25,37.3905846,126.930227,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117160007,IoT 진동/기울기 감지기 2-3,37.409993,126.9004499,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170024,IoT 진동/기울기 감지기 2-26,37.3905846,126.930227,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117160004,IoT 진동/기울기 감지기 1-64,37.3859279,126.9043162,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,2,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,2,2.02511E+13,41173,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117350008,IoT 진동/기울기 감지기 4-100,37.3868348,126.9410899,Y,1,1,2.02511E+13,41173,2025/11/01 0:00
4117170021,IoT 진동/기울기 감지기 3-6,37.4336837,126.9019197,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,4,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-12,37.4114904,126.9136891,Y,4,2,2.02511E+13,41171,2025/11/01 0:00
4117170028,IoT 진동/기울기 감지기 2-6,37.3861945,126.9262231,Y,1,1,2.02511E+13,41171,2025/11/01 0:00
4117170004,IoT 진동/기울기 감지기 3-10,37.4114904,126.9136891,Y,1,2,2.02511E+13,41171,2025/11/01 0:00
